participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	193.184891759968	20	-0.78211483436245	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	201.720399120195	25	-0.5424568851930471	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	209.181717870452	30	-0.33295974878166845	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	208.586054716797	35	-0.3496846373882826	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	200.256547144446	40	-0.5835585734219535	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	194.63274613886	45	-0.7414623228599623	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	190.670980968513	50	-0.8526998247149056	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	260.083355502386	55	1.096244347635275	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	261.844321238924	60	1.1456883254991832	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	263.712829183862	65	1.1981518479579902	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	265.584022220221	70	1.2506907617762235	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	267.50273154602303	75	1.3045638266881714	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	270.425068971452	80	1.3866165231011325	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	275.447607776747	85	1.5276381752304014	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	281.574671245808	90	1.6996724086338244	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	284.562350407943	95	1.7835597548166504	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	279.870253822956	100	1.651816180895951	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	266.560911558304	105	1.2781196286788927	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	274.355167687241	110	1.4969649017632125	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	282.79811140772	115	1.734023871032131	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	278.886543997578	120	1.6241958099703244	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	269.401934753409	125	1.357889203438356	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	255.846537086819	130	0.97728396606389345	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	238.531513767672	135	0.49111685222324686	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	223.781600097761	140	0.07697227810825184	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	213.101097259795	145	-0.2229123448225681	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	204.704756852832	150	-0.4586627973190945	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	196.585181222297	155	-0.6866423141322727	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	188.409058714572	160	-0.9162095407378922	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	183.453025682558	165	-1.0553638595547066	like_de
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	97	273	57	f	179.881097808264	170	-1.1556556023658286	like_de
